Pull,Z1_temp,Z2_temp,Z2_Bottom,Z3_temp,Z3_Bottom,Z4_Left temp,Z4_Centre temp,Z4_Right temp,sheet_thickness,Actual_thick_Min. LHS,Actual_thick_Max. LHS,Actual_thick_Min.  Center,Actual_thick_Max. Center,Actual_thick_Min. RHS,Actual_thick_Max. RHS,Roller_speed_Top,Roller_speed_Bottom,Roller_speed_Carriage,Roller_speed_Table,LEHR_SPEED,Pick_up_mark
220.56,1346,1253,1271,1192,1225,1135,1134,1141,3.2,3.15,3.31,3.01,3.2,3.18,3.34,638,638,666,736,767,2.61
219.71,1346,1253,1271,1191,1225,1135,1134,1141,3.2,3.23,3.33,3.08,3.17,3.16,3.23,641,641,669,740,771,2.00
223,1346,1252,1270,1191,1224,1134,1134,1142,3.2,3.2,3.3,3.09,3.19,3.2,3.2,643,643,671,742,773,2.33
223.26,1346,1253,1272,1192,1225,1136,1135,1142,3.2,3.27,3.35,3.1,3.19,3.21,3.27,646,646,674,741,777,2.20
223.72,1346,1252,1271,1191,1225,1135,1134,1141,3.2,3.26,3.32,3.09,3.17,3.2,3.24,646,646,674,741,777,2.33
222.07,1346,1252,1272,1192,1225,1135,1134,1141,3.2,3.25,3.33,3.08,3.2,3.19,3.28,646,646,674,741,777,1.74
222.79,1346,1253,1272,1192,1225,1135,1134,1142,3.2,3.22,3.3,3.07,3.15,3.17,3.28,646,646,674,741,777,3.03
220.87,1346,1252,1272,1191,1225,1135,1134,1142,3.2,3.21,3.32,3.09,3.16,3.21,3.26,646,646,669,734,777,2.91
221.33,1346,1251,1272,1190,1224,1132,1131,1139,3.2,3.24,3.29,3.1,3.18,3.2,3.27,646,646,674,734,777,3.40
221.57,1346,1251,1271,1190,1224,1133,1132,1140,3.2,3.21,3.28,3.08,3.2,3.21,3.26,646,646,674,737,777,2.16
221.7,1346,1252,1271,1190,1224,1133,1132,1140,3.2,3.21,3.3,3.08,3.17,3.18,3.22,646,646,674,737,777,2.22
221.93,1346,1252,1272,1190,1224,1133,1132,1140,3.2,3.2,3.29,3.08,3.16,3.18,3.23,646,646,674,737,777,2.26
222.28,1346.00,1251.00,1270.00,1190.00,1224.00,1133.00,1132.00,1140.00,3.20,3.23,3.32,3.08,3.19,3.20,3.24,646.00,646.00,674.00,734.00,777.00,3.31
221.35,1346.00,1252.00,1271.00,1191.00,1224.00,1134.00,1133.00,1141.00,3.20,3.22,3.33,3.09,3.17,3.21,3.26,646.00,646.00,674.00,733.00,777.00,2.93
220.08,1346.00,1252.00,1272.00,1191.00,1226.00,1139.00,1136.00,1146.00,3.20,3.21,3.32,3.08,3.17,3.20,3.27,646.00,646.00,674.00,737.00,777.00,4.11
221.80,1346.00,1253.00,1272.00,1193.00,1226.00,1139.00,1137.00,1146.00,3.20,3.16,3.26,3.05,3.15,3.17,3.23,646.00,646.00,674.00,734.00,777.00,3.22
219.81,1346.00,1252.00,1272.00,1191.00,1225.00,1137.00,1134.00,1144.00,3.20,3.21,3.29,3.02,3.15,3.24,3.28,636.00,636.00,663.00,731.00,765.00,2.91
200.09,1346.00,1251.00,1271.00,1192.00,1226.00,1136.00,1134.00,1146.00,3.20,3.36,3.39,3.07,3.22,3.29,3.32,557.00,557.00,616.00,654.00,685.00,2.45
207.57,1346.00,1252.00,1273.00,1195.00,1229.00,1138.00,1138.00,1148.00,3.20,3.21,3.24,3.01,3.19,3.27,3.31,586.00,586.00,632.00,678.00,709.00,4.48
207.52,1347.00,1254.00,1274.00,1198.00,1231.00,1143.00,1142.00,1152.00,3.20,3.23,3.28,3.01,3.17,3.18,3.22,591.00,591.00,638.00,683.00,712.00,2.63
210.56,1346.00,1252.00,1273.00,1197.00,1230.00,1142.00,1140.00,1151.00,3.20,3.22,3.26,3.01,3.20,3.24,3.27,581.00,581.00,618.00,682.00,705.00,4.10
209.47,1348.00,1253.00,1273.00,1196.00,1230.00,1142.00,1141.00,1152.00,3.20,3.27,3.31,3.01,3.19,3.26,3.29,599.00,599.00,635.00,695.00,723.00,4.10
209.63,1346.00,1252.00,1272.00,1195.00,1229.00,1141.00,1140.00,1150.00,3.20,3.19,3.22,3.02,3.21,3.31,3.35,591.00,591.00,628.00,689.00,718.00,3.57
212.37,1346.00,1252.00,1272.00,1195.00,1229.00,1140.00,1139.00,1150.00,3.20,3.27,3.32,3.01,3.15,3.26,3.30,594.00,594.00,631.00,691.00,721.00,3.03
218.30,1346.00,1252.00,1272.00,1193.00,1227.00,1140.00,1138.00,1149.00,3.20,3.25,3.29,3.05,3.16,3.22,3.26,626.00,626.00,668.00,711.00,763.00,2.31
221.26,1345.00,1250.00,1272.00,1190.00,1225.00,1137.00,1135.00,1146.00,3.20,3.20,3.26,3.01,3.16,3.26,3.32,627.00,627.00,668.00,711.00,763.00,4.57
221.61,1346.00,1251.00,1271.00,1191.00,1225.00,1138.00,1137.00,1147.00,3.20,3.20,3.26,3.02,3.19,3.27,3.32,634.00,634.00,668.00,711.00,763.00,4.27
220.38,1346.00,1250.00,1271.00,1190.00,1224.00,1136.00,1135.00,1155.00,3.20,3.36,3.39,3.07,3.22,3.29,3.32,634.00,634.00,673.00,711.00,763.00,2.90
220.13,1346.00,1251.00,1272.00,1192.00,1226.00,1139.00,1137.00,1147.00,3.20,3.21,3.24,3.01,3.19,3.27,3.31,634.00,634.00,673.00,711.00,763.00,4.09
223.66,1346.00,1252.00,1273.00,1193.00,1228.00,1142.00,1140.00,1149.00,3.20,3.23,3.28,3.01,3.17,3.18,3.22,629.00,629.00,668.00,703.00,758.00,4.05
220.45,1346.00,1252.00,1273.00,1193.00,1227.00,1142.00,1140.00,1145.00,3.20,3.22,3.26,3.01,3.20,3.24,3.27,629.00,629.00,668.00,703.00,758.00,4.20
221.25,1346.00,1250.00,1272.00,1191.00,1225.00,1138.00,1136.00,1145.00,3.20,3.27,3.31,3.01,3.19,3.26,3.29,618.00,619.00,656.00,696.00,745.00,3.94
222.08,1346.00,1250.00,1272.00,1191.00,1224.00,1137.00,1135.00,1144.00,3.20,3.19,3.22,3.02,3.21,3.31,3.35,618.00,618.00,656.00,690.00,745.00,3.90
221.26,1346.00,1250.00,1272.00,1191.00,1225.00,1137.00,1136.00,1145.00,3.20,3.27,3.32,3.01,3.15,3.26,3.30,618.00,618.00,656.00,690.00,745.00,4.02
220.47,1346.00,1250.00,1272.00,1192.00,1225.00,1137.00,1136.00,1145.00,3.20,3.25,3.29,3.05,3.16,3.22,3.26,618.00,618.00,656.00,690.00,745.00,3.86
219.93,1346.00,1251.00,1273.00,1192.00,1226.00,1138.00,1137.00,1146.00,3.20,3.20,3.26,3.01,3.16,3.26,3.32,617.00,617.00,656.00,690.00,745.00,4.56
